TARGETID,K_R,K_R_ERR,Z
39628052178666167,,inf,2.462805618616821
39628046243727781,,inf,2.3665492727146615
39628058105219634,,inf,2.360131617244265
39628046235339688,,inf,2.419737482653392
39628058113608294,,inf,2.308360327720873
39628052208030645,,inf,2.794214128600106
39627938865348834,,inf,2.414135760600128
39627950882034604,,inf,2.7139123368650075
39627775895669632,,inf,2.3591908831110207
39627794019256599,,inf,2.3365291530941326
39627800059056316,,inf,2.376343291919297
39627800063246637,,inf,2.6700233001255436
39627926873836080,,inf,2.388212236041792
39627932871693744,,inf,2.3721237610847563
39627932884272954,,inf,2.475711199818751
39627938890516782,,inf,2.772781842046681
39627926869642484,,inf,2.327343118837994
39627932871690996,,inf,2.532096083025163
39627926865447505,,inf,2.3631614046360165
39627908829938565,,inf,2.523486050280833
39627914848769239,,inf,2.3436873620604475
39627920871784782,,inf,2.444764982981728
39627902811114060,,inf,2.3739663340354107
39627908829937875,,inf,2.6169057540394545
39627896783897971,,inf,2.4637204961544077
39627908834132306,,inf,2.7383737225684803
39627896792286133,,inf,2.6010031106832585
39627896792288375,,inf,2.398801066529625
39627920867593017,,inf,2.4271900165242806
39627908829939698,,inf,2.3272702828716123
39627926626372869,,inf,2.434277739036695
39628063977245793,,inf,2.5817362399650277
39628063977247317,,inf,2.5612729690219496
39628052111558763,,inf,2.662434277589902
39628063977243894,,inf,2.497511149154674
39628058054888750,,inf,2.501987112009919
39628063973049100,,inf,2.766020377351564
39628052115754442,,inf,2.753980837183325
39628052115751864,,inf,2.3470322324016633
39628052115752182,,inf,2.4798374521972875
39628052115753321,,inf,2.595816488456154
39628063981438248,,inf,2.3174834639119193
39628063973050317,,inf,2.671390921543918
39628022415886317,,inf,2.7821044726126734
39627902496539511,,inf,2.4781075053597297
39627869181183861,,inf,2.326097502245392
39627875212594131,,inf,2.7240528232499046
39627869185378664,,inf,2.4561298894174013
39627875208400751,,inf,2.3503561287964247
39627851011460846,,inf,2.415015231802426
39627857055451695,,inf,2.571479801961853
39627814797844959,,inf,2.742540950476154
39627899367589708,,inf,2.537305319898061
39627881285944993,,inf,2.504625283429939
39627875250343909,,inf,2.3631718079012742
39627875250342498,,inf,2.778187576637204
39627832854316092,,inf,2.666050064128297
39627923161878960,,inf,2.463367898794001
39627923161878481,,inf,2.7198578300522085
39627923161874547,,inf,2.369381658304159
39627953201482974,,inf,2.562249332157193
39627923178651696,,inf,2.4462300807650026
39627929193285940,,inf,2.5850585677113433
39627917176607736,,inf,2.55230151219293
39627844862607582,,inf,2.4992565011383476
39627856925429148,,inf,2.406600762816801
39627850889824613,,inf,2.7606658889631563
39627856929623023,,inf,2.3402900988782394
39627844850027541,,inf,2.4500047623155026
39627856921235217,,inf,2.5460235267110574
39627844845832478,,inf,2.306332531850623
